Период: 01.01.2026-20.03.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
06829356-0260-3;15.01.2026;Продажи;Выручка;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;0%;;;1 510,58 ?
06829356-0260-3;15.01.2026;Продажи;Программы партнёров;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;0%;;;0,00 ?
06829356-0260-3;15.01.2026;Продажи;Баллы за скидки;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;0%;;;546,42
06829356-0260-3;15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;35%;;;-719,95 ?
06829356-0260-3;15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ?;08.01.2026;Ozon;FBS;35%;;;-20,00 ?
06829356-0260-3;15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;08.01.2026;;;0%;;;-100,00 ?
15186171-0258-1;15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-10,00 ?
15186171-0258-1;15.01.2026;Услуги доставки;Логистика;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-141,33 ?
15186171-0258-1;15.01.2026;Продажи;Выручка;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;0%;;;2 072,38 ?
15186171-0258-1;15.01.2026;Продажи;Программы партнёров;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;0%;;;20,72 ?
15186171-0258-1;15.01.2026;Продажи;Баллы за скидки;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;0%;;;1 181,90
15186171-0258-1;15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-1 146,25 ?
15186171-0258-1;15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-20,00 ?
15186171-0258-1;15.01.2026;Услуги партнёров;Доставка до места выдачи;DU-05C-1;1427578058;Эрл грей зеленый 1 кг с бергамотом;1;3 275,00 ?;05.01.2026;Ozon;FBS;35%;;;-12,67 ?
15186171-0258-1;15.01.2026;Другие услуги и штрафы;Обработка операционных ошибок продавца: отгрузка в нерекомендованный слот;;;;0;0,00 ?;05.01.2026;;;0%;;;-100,00 ?
67583879-0759-10;15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-10,00 ?
67583879-0759-10;15.01.2026;Услуги доставки;Логистика;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-117,94 ?
67583879-0759-10;15.01.2026;Продажи;Выручка;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;0%;;;794,48 ?
67583879-0759-10;15.01.2026;Продажи;Программы партнёров;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;0%;;;7,94 ?
67583879-0759-10;15.01.2026;Продажи;Баллы за скидки;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;0%;;;567,58
67583879-0759-10;15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-22B;1424160604;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;1 370,00 ?;31.12.2025;Ozon;FBS;35%;;;-479,50 ?
