Период: 01.01.2026-20.03.2026;;;;;;;;;;;;;;;
ID начисления;Дата начисления;Группа услуг;Тип начисления;Артикул;SKU;Название товара;Количество;Цена продавца;Дата принятия заказа в обработку или оказания услуги;Платформа продажи;Схема работы;Вознаграждение Ozon, %;Индекс локализации, %;Среднее время доставки, часы;Сумма итого, руб.
58015673-1820-1;17.02.2026;Продажи;Выручка;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;0%;;;1 227,40 ?
58015673-1820-1;17.02.2026;Продажи;Программы партнёров;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;0%;;;12,27 ?
58015673-1820-1;17.02.2026;Продажи;Баллы за скидки;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;0%;;;529,33
58015673-1820-1;17.02.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;35%;;;-619,15 ?
58015673-1820-1;17.02.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;35%;;;-20,00 ?
58015673-1820-1;17.02.2026;Услуги партнёров;Доставка до места выдачи;DU-40A;1422564905;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;1 769,00 ?;06.02.2026;Ozon;FBS;35%;;;-25,00 ?
0105894418-0244-1;21.02.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;35%;;;-10,00 ?
0105894418-0244-1;21.02.2026;Услуги доставки;Логистика;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;35%;;;-141,33 ?
0105894418-0244-1;21.02.2026;Продажи;Выручка;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;0%;;;2 067,62 ?
0105894418-0244-1;21.02.2026;Продажи;Программы партнёров;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;0%;;;20,68 ?
0105894418-0244-1;21.02.2026;Продажи;Баллы за скидки;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;0%;;;834,70
0105894418-0244-1;21.02.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;35%;;;-1 023,05 ?
0105894418-0244-1;21.02.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;35%;;;-20,00 ?
0105894418-0244-1;21.02.2026;Услуги партнёров;Доставка до места выдачи;DU-02G-1;1433929789;Порох Храм неба 1 кг зеленый чай;1;2 923,00 ?;15.02.2026;Ozon;FBS;35%;;;-14,25 ?
08646847-0197-1;04.03.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;35%;;;-10,00 ?
08646847-0197-1;04.03.2026;Услуги доставки;Логистика;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;35%;;;-99,64 ?
08646847-0197-1;04.03.2026;Продажи;Выручка;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;0%;;;1 187,32 ?
08646847-0197-1;04.03.2026;Продажи;Программы партнёров;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;0%;;;11,87 ?
08646847-0197-1;04.03.2026;Продажи;Баллы за скидки;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;0%;;;670,81
08646847-0197-1;04.03.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;35%;;;-654,50 ?
08646847-0197-1;04.03.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;35%;;;-20,00 ?
08646847-0197-1;04.03.2026;Услуги партнёров;Доставка до места выдачи;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 870,00 ?;19.02.2026;Ozon;FBS;35%;;;-10,35 ?
08646847-0197-1;04.03.2026;Другие услуги и штрафы;Отгрузка в нерекомендованный слот;;;;0;0,00 ?;19.02.2026;;;0%;;;-50,00 ?
08646847-0197-1;04.03.2026;Услуги партнёров;Эквайринг;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;0,00 ?;19.02.2026;;;0%;;;-22,56 ?
49150146-0598;10.03.2026;Услуги партнёров;Эквайринг;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;0,00 ?;10.03.2026;;;0%;;;-14,64 ?
19822834-0797-1;12.03.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;35%;;;-10,00 ?
19822834-0797-1;12.03.2026;Услуги доставки;Логистика;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;35%;;;-99,64 ?
19822834-0797-1;12.03.2026;Продажи;Выручка;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;0%;;;1 340,30 ?
19822834-0797-1;12.03.2026;Продажи;Программы партнёров;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;0%;;;0,00 ?
19822834-0797-1;12.03.2026;Продажи;Баллы за скидки;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;0%;;;505,70
19822834-0797-1;12.03.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;35%;;;-646,10 ?
19822834-0797-1;12.03.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;35%;;;-20,00 ?
19822834-0797-1;12.03.2026;Услуги партнёров;Доставка до места выдачи;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;1 846,00 ?;09.03.2026;Ozon;FBS;35%;;;-14,45 ?
19822834-0797-1;12.03.2026;Другие услуги и штрафы;Отгрузка в нерекомендованный слот;;;;0;0,00 ?;09.03.2026;;;0%;;;-50,00 ?
19822834-0797-1;12.03.2026;Услуги партнёров;Эквайринг;DU-23F;1434275615;Ройбуш Крем-карамель 500 гр;1;0,00 ?;09.03.2026;;;0%;;;-7,10 ?
49150146-0598-2;12.03.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;35%;;;-10,00 ?
49150146-0598-2;12.03.2026;Услуги доставки;Логистика;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;35%;;;-117,94 ?
49150146-0598-2;12.03.2026;Продажи;Выручка;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;0%;;;1 273,07 ?
49150146-0598-2;12.03.2026;Продажи;Программы партнёров;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;0%;;;0,00 ?
49150146-0598-2;12.03.2026;Продажи;Баллы за скидки;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;0%;;;561,93
49150146-0598-2;12.03.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;35%;;;-642,25 ?
49150146-0598-2;12.03.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;35%;;;-20,00 ?
49150146-0598-2;12.03.2026;Услуги партнёров;Доставка до места выдачи;DU-05H;1408107449;Юннань FOP чёрный чай 500 гр;1;1 835,00 ?;10.03.2026;Ozon;FBS;35%;;;-10,01 ?
41512031-0613-2;14.03.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;35%;;;-10,00 ?
41512031-0613-2;14.03.2026;Услуги доставки;Логистика;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;35%;;;-164,72 ?
41512031-0613-2;14.03.2026;Продажи;Выручка;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;0%;;;3 044,76 ?
41512031-0613-2;14.03.2026;Продажи;Программы партнёров;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;0%;;;30,45 ?
41512031-0613-2;14.03.2026;Продажи;Баллы за скидки;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;0%;;;1 224,79
41512031-0613-2;14.03.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;35%;;;-1 505,00 ?
41512031-0613-2;14.03.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;35%;;;-20,00 ?
41512031-0613-2;14.03.2026;Услуги партнёров;Доставка до места выдачи;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;4 300,00 ?;09.03.2026;Ozon;FBS;35%;;;-14,46 ?
41512031-0613-2;14.03.2026;Другие услуги и штрафы;Отгрузка в нерекомендованный слот;;;;0;0,00 ?;09.03.2026;;;0%;;;-50,00 ?
41512031-0613-2;14.03.2026;Услуги партнёров;Эквайринг;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;0,00 ?;09.03.2026;;;0%;;;-57,85 ?
0203484886-0009;16.03.2026;Услуги партнёров;Эквайринг;DU-64A-1;1419660013;Трюфель 1 кг чёрный чай с натуральным ароматом трюфеля, белым шоколадом и орешками макадамии;1;0,00 ?;16.03.2026;;;0%;;;-17,32 ?
